Fecha,Anio,Mes_Nombre,Fase_ENOS,ENOS_Indice,Temperatura_Max_C,Temperatura_Min_C,Temperatura_Prom_C,Casos_Dengue,Casos_Leptospirosis,Lluvia_Acumulada_mm,Temporada,Casos_Respiratorios,Eventos_FRM,Familias_Afectadas,Inundaciones,Encharcamientos,Damnificados_Inundaciones,Damnificados_Encharcamientos,Datos_Completos
2007-01-01,2007,Ene,El Nino,,26.4,4.4,14.11,,,,,,3.0,0.0,0.0,2.0,0.0,0.0,0
2007-02-01,2007,Feb,Neutral,,25.4,-4.6,13.48,,,,,,6.0,0.0,0.0,4.0,0.0,0.0,0
2007-03-01,2007,Mar,Neutral,,24.0,5.1,14.23,,,,,,12.0,11.0,0.0,8.0,0.0,0.0,0
2007-04-01,2007,Abr,Neutral,,23.0,6.6,14.75,,,,,,28.0,3.0,1.0,40.0,3.0,0.0,0
2007-05-01,2007,May,Neutral,,21.9,5.9,13.26,,,,,,16.0,6.0,0.0,36.0,0.0,25.0,0
2007-06-01,2007,Jun,Neutral,,19.8,5.9,12.71,,,,,,12.0,3.0,1.0,7.0,0.0,0.0,0
2007-07-01,2007,Jul,La Nina,,23.6,4.3,13.32,,,,,,8.0,1.0,2.0,13.0,2.0,6.0,0
2007-08-01,2007,Ago,La Nina,,23.3,3.0,13.04,,,,,,4.0,0.0,5.0,2.0,2.0,0.0,0
2007-09-01,2007,Sep,La Nina,,24.3,1.7,13.56,,,,,,6.0,13.0,0.0,0.0,0.0,0.0,0
2007-10-01,2007,Oct,La Nina,,25.7,4.2,13.27,,,,,,53.0,33.0,3.0,134.0,0.0,78.0,0
2008-10-01,2008,Oct,Neutral,,22.7,4.3,14.14,,,,,,5.0,4.0,1.0,18.0,2.0,0.0,0
2007-11-01,2007,Nov,La Nina,,25.7,-0.1,12.85,,,,,,43.0,52.0,15.0,101.0,54.0,23.0,0
2008-11-01,2008,Nov,La Nina,,22.8,7.0,14.29,,,,,,33.0,39.0,8.0,43.0,17.0,4.0,0
