Anio;Mes;Fecha;Dengue;ENOS C;ENOS;Aniomes;No. Mes;Temperatura Maxima;Temperatura minima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificaci�n ONI
2007;Ene;lunes, 1 de enero de 2007;;Ni�o;SD;;;26,4;4,4;14,11;;;;;3;0;0;2;0;0;
2007;Feb;jueves, 1 de febrero de 2007;;Neutro;SD;;;25,4;-4,6;13,48;;;;;6;0;0;4;0;0;
2007;Mar;jueves, 1 de marzo de 2007;;Neutro;SD;;;24;5,1;14,23;;;;;12;11;0;8;0;0;
2007;Abr;domingo, 1 de abril de 2007;;Neutro;SD;;;23;6,6;14,75;;;;;28;3;1;40;3;0;
2007;May;martes, 1 de mayo de 2007;;Neutro;SD;;;21,9;5,9;13,26;;;;;16;6;0;36;0;25;
2007;Jun;viernes, 1 de junio de 2007;;Neutro;SD;;;19,8;5,9;12,71;;;;;12;3;1;7;0;0;
2007;Jul;domingo, 1 de julio de 2007;;Ni�a;SD;;;23,6;4,3;13,32;;;;;8;1;2;13;2;6;
2007;Ago;mi�rcoles, 1 de agosto de 2007;;Ni�a;SD;;;23,3;3;13,04;;;;;4;0;5;2;2;0;
2007;Sep;s�bado, 1 de septiembre de 2007;;Ni�a;SD;;;24,3;1,7;13,56;;;;;6;13;0;0;0;0;
2007;Oct;lunes, 1 de octubre de 2007;;Ni�a;SD;;;25,7;4,2;13,27;;;;;53;33;3;134;0;78;
2008;Oct;lunes, 1 de octubre de 2007;;Neutro;SD;;;22,7;4,3;14,14;;;;;5;4;1;18;2;0;
2007;Nov;jueves, 1 de noviembre de 2007;;Ni�a;SD;;;25,7;-0,1;12,85;;;;;43;52;15;101;54;23;
2008;Nov;jueves, 1 de noviembre de 2007;;Ni�a;SD;;;22,8;7;14,29;;;;;33;39;8;43;17;4;
